,economy,Year,population_growth_rate
4954,MRT,2018,2.62618780349529
5220,MRT,2019,2.6146547551014
5486,MRT,2020,2.58400208033153
5752,MRT,2021,2.55391077109444
167,MUS,2000,0.982676166064297
433,MUS,2001,0.790047581068153
699,MUS,2002,0.694240135210974
965,MUS,2003,0.723661765578573
1231,MUS,2004,0.627103982385528
1497,MUS,2005,0.592099659929956
1763,MUS,2006,0.466403525955087
2029,MUS,2007,0.455526400702738
2295,MUS,2008,0.361630847401639
2561,MUS,2009,0.265537672832765
2827,MUS,2010,0.237886692890185
3093,MUS,2011,0.160140420765724
3359,MUS,2012,0.277321025514609
3625,MUS,2013,0.242165626741126
3891,MUS,2014,0.181022097854624
4157,MUS,2015,0.132404330287967
4423,MUS,2016,0.0687082325715694
4689,MUS,2017,0.0901672663767558
4955,MUS,2018,0.0545354541381391
5221,MUS,2019,0.0322330642925213
5487,MUS,2020,0.0022906802096937
5753,MUS,2021,0.0252729878913446
168,MWI,2000,2.30093521781424
434,MWI,2001,2.3710066148072
700,MWI,2002,2.45406914818211
966,MWI,2003,2.54253905729233
1232,MWI,2004,2.64004024351051
1498,MWI,2005,2.736342194188
1764,MWI,2006,2.80345816457226
2030,MWI,2007,2.83448193292953
2296,MWI,2008,2.87740603419066
2562,MWI,2009,2.90572339354206
2828,MWI,2010,2.89150573052371
3094,MWI,2011,2.86427704641241
3360,MWI,2012,2.83256555379816
3626,MWI,2013,2.80676296771096
3892,MWI,2014,2.78881323875244
4158,MWI,2015,2.75911370133102
4424,MWI,2016,2.71781408401004
4690,MWI,2017,2.69546636843743
4956,MWI,2018,2.68556142714987
5222,MWI,2019,2.68285756018368
5488,MWI,2020,2.66577178304392
5754,MWI,2021,2.61141776637435
169,MYS,2000,2.54459366705921
435,MYS,2001,2.57014353027485
701,MYS,2002,2.51634742159783
967,MYS,2003,2.44260643657749
1233,MYS,2004,2.3720084635771
1499,MYS,2005,2.30336382151543
1765,MYS,2006,2.23485955352487
2031,MYS,2007,2.17608980403121
2297,MYS,2008,2.08818532017883
2563,MYS,2009,1.97892341382596
2829,MYS,2010,1.75828740323151
3095,MYS,2011,1.61104342924472
3361,MYS,2012,1.61813131846729
3627,MYS,2013,1.58743980435977
3893,MYS,2014,1.55301827143161
4159,MYS,2015,1.49940972361564
4425,MYS,2016,1.4620698661924
4691,MYS,2017,1.41536933264598
4957,MYS,2018,1.31563682048248
5223,MYS,2019,1.24151463105699
5489,MYS,2020,1.19985962233223
5755,MYS,2021,1.11985399101
170,NAC,2000,1.1009288191018
436,NAC,2001,1.00424635233902
702,NAC,2002,0.947888188691621
968,NAC,2003,0.867299091099042
1234,NAC,2004,0.930473824664759
1500,NAC,2005,0.928178273300475
1766,NAC,2006,0.973418076316719
2032,NAC,2007,0.957511039909903
2298,NAC,2008,0.963907968134549
2564,NAC,2009,0.906830276466891
2830,NAC,2010,0.860906957950519
3096,NAC,2011,0.754291919645382
3362,NAC,2012,0.771504745059005
3628,NAC,2013,0.731728411274219
3894,NAC,2014,0.76336551220308
4160,NAC,2015,0.73984716254256
4426,NAC,2016,0.768191348897489
4692,NAC,2017,0.691849710608722
4958,NAC,2018,0.61812853613192
5224,NAC,2019,0.557163665964495
5490,NAC,2020,0.980198111617312
5756,NAC,2021,0.20002160762067
